Năm bán hàng_売上年,Tháng bán hàng_売上月,Iron,Harness,Alumi,New_York_Gas_Price,US_Gulf_Gas_Price
2007,8,33.0,290.0,210.0,2.137,2.128
2007,9,33.0,320.0,240.0,2.004,1.966
2007,10,33.0,330.0,220.0,2.102,2.111
2007,11,33.5,330.0,225.0,2.169,2.121
2007,12,33.5,330.0,225.0,2.424,2.359
2008,1,34.5,260.0,260.0,2.33,2.275
2008,2,35.0,280.0,260.0,2.334,2.315
2008,3,37.0,270.0,240.0,2.381,2.408
2008,4,47.5,300.0,250.0,2.504,2.562
2008,5,55.5,330.0,240.0,2.762,2.796
2008,6,58.0,290.0,255.0,3.098,3.107
2008,7,60.0,300.0,255.0,3.292,3.284
2008,8,66.0,330.0,250.0,3.148,3.158
2008,9,40.0,310.0,250.0,2.897,2.937
2008,10,40.5,270.0,240.0,2.805,3.138
2008,11,17.0,100.0,140.0,1.92,1.786
2008,12,8.0,90.0,105.0,1.283,1.204
2009,1,11.0,110.0,105.0,0.956,0.93
2009,2,21.0,90.0,70.0,1.146,1.148
2009,3,18.0,90.0,70.0,1.216,1.195
2009,4,17.0,110.0,70.0,1.288,1.288
2009,5,14.5,140.0,75.0,1.379,1.349
2009,6,19.0,180.0,90.0,1.689,1.657
2009,7,19.0,187.0,100.0,1.906,1.889
2009,8,21.2,187.0,100.0,1.75,1.705
2009,9,23.0,205.0,125.0,1.93,1.888
2009,10,24.5,220.0,130.0,1.779,1.735
2009,11,25.0,217.0,140.0,1.924,1.885
2009,12,20.5,217.0,135.0,1.983,1.926
2010,1,20.5,228.0,135.0,1.919,1.887
2010,2,21.0,235.0,150.0,2.04,2.014
2010,3,25.5,282.0,163.0,1.963,1.966
2010,4,28.5,240.0,160.0,2.14,2.137
2010,5,35.0,290.0,184.0,2.227,2.191
2010,6,35.0,285.0,185.0,2.019,1.989
2010,7,30.5,223.0,165.0,2.014,1.969
2010,8,26.5,217.0,158.0,1.995,1.973
2010,9,22.3,225.0,150.0,1.943,1.928
2010,10,25.8,230.0,160.0,1.969,1.95
2010,11,23.5,240.0,150.0,2.164,2.071
2010,12,23.0,247.0,150.0,2.244,2.115
2011,1,27.5,250.0,160.0,2.389,2.31
2011,2,30.5,265.0,160.0,2.448,2.39
2011,3,33.5,276.0,165.0,2.558,2.511
2011,4,36.5,278.0,175.0,2.838,2.859
2011,5,32.0,265.0,170.0,3.178,3.136
2011,6,32.0,240.0,170.0,3.024,3.024
2011,7,31.0,275.0,170.0,2.835,2.789
2011,8,33.0,280.0,170.0,3.021,2.975
2011,9,31.0,270.0,170.0,2.835,2.801
2011,10,31.5,270.0,170.0,2.768,2.692
2011,11,27.0,200.0,155.0,2.772,2.689
2011,12,21.5,210.0,150.0,2.629,2.539
2012,1,27.5,210.0,150.0,2.634,2.544
2012,2,24.0,210.0,140.0,2.822,2.777
2012,3,27.0,250.0,155.0,3.044,2.999
2012,4,28.0,260.0,160.0,3.167,3.169
2012,5,27.5,240.0,150.0,3.206,3.101
2012,6,26.5,235.0,140.0,2.877,2.78
2012,7,21.0,235.0,140.0,2.602,2.516
2012,8,20.5,230.0,135.0,2.747,2.645
2012,9,22.0,230.0,135.0,3.022,2.968
2012,10,19.5,230.0,130.0,3.27,3.034
2012,11,17.0,248.0,135.0,2.975,2.778
2012,12,17.5,240.0,135.0,2.817,2.522
2013,1,18.0,240.0,135.0,2.727,2.475
2013,2,24.5,285.0,140.0,2.852,2.669
2013,3,26.0,295.0,155.0,3.053,2.922
2013,4,29.0,300.0,155.0,2.914,2.901
2013,5,27.0,295.0,150.0,2.706,2.685
2013,6,26.0,290.0,150.0,2.742,2.708
2013,7,25.0,280.0,165.0,2.74,2.688
2013,8,25.5,280.0,160.0,2.924,2.853
2013,9,27.0,295.0,160.0,2.933,2.861
2013,10,28.5,300.0,160.0,2.797,2.604
2013,11,28.5,300.0,160.0,2.685,2.49
2013,12,31.0,300.0,160.0,2.673,2.451
2014,1,32.5,305.0,160.0,2.736,2.52
2014,2,30.5,310.0,165.0,2.672,2.548
2014,3,29.5,310.0,165.0,2.795,2.695
2014,4,25.5,305.0,165.0,2.753,2.714
2014,5,26.5,270.0,170.0,2.896,2.801
2014,6,26.5,275.0,170.0,2.862,2.762
2014,7,27.0,285.0,170.0,2.896,2.849
2014,8,27.0,295.0,170.0,2.802,2.713
2014,9,27.0,300.0,180.0,2.705,2.631
2014,10,27.5,310.0,190.0,2.721,2.605
2014,11,26.0,308.0,190.0,2.398,2.179
2014,12,24.5,315.0,190.0,2.165,1.937
2015,1,23.5,315.0,190.0,1.683,1.423
2015,2,20.0,290.0,190.0,1.364,1.271
2015,3,19.5,275.0,190.0,1.607,1.603
2015,4,19.5,275.0,190.0,1.644,1.678
2015,5,19.5,295.0,190.0,1.793,1.734
2015,6,20.0,295.0,195.0,1.938,1.884
2015,7,21.0,310.0,180.0,2.005,1.945
2015,8,19.5,290.0,180.0,1.86,1.86
2015,9,18.5,275.0,180.0,1.62,1.574
2015,10,14.0,260.0,170.0,1.46,1.353
2015,11,11.5,260.0,170.0,1.397,1.307
2015,12,11.0,265.0,165.0,1.377,1.246
2016,1,11.5,220.0,160.0,1.276,1.181
2016,2,11.0,210.0,160.0,1.121,1.021
2016,3,11.5,200.0,150.0,1.058,0.936
2016,4,12.0,220.0,150.0,1.201,1.214
2016,5,17.0,220.0,155.0,1.448,1.337
2016,6,20.5,215.0,155.0,1.566,1.434
2016,7,13.5,212.0,150.0,1.506,1.487
2016,8,13.0,205.0,150.0,1.354,1.358
2016,9,12.5,212.0,150.0,1.379,1.429
2016,10,14.0,203.0,150.0,1.438,1.393
2016,11,14.0,207.0,145.0,1.522,1.489
2016,12,14.0,206.0,145.0,1.462,1.317
2017,1,18.5,250.0,155.0,1.634,1.566
2017,2,19.5,260.0,165.0,1.62,1.593
2017,3,19.5,250.0,165.0,1.547,1.543
2017,4,22.0,275.0,170.0,1.492,1.523
2017,5,24.0,270.0,185.0,1.611,1.621
2017,6,17.5,260.0,187.0,1.54,1.519
2017,7,17.5,270.0,180.0,1.445,1.432
2017,8,18.0,273.0,175.0,1.562,1.518
2017,9,19.5,280.0,175.0,1.688,1.638
2017,10,23.5,290.0,175.0,1.867,1.753
2017,11,23.5,260.0,185.0,1.715,1.652
2017,12,22.5,290.0,195.0,1.83,1.757
2018,1,25.5,280.0,200.0,1.757,1.702
2018,2,26.0,265.0,200.0,1.899,1.857
2018,3,27.0,265.0,200.0,1.817,1.765
2018,4,26.0,260.0,200.0,1.834,1.82
2018,5,25.0,250.0,195.0,1.995,1.965
2018,6,23.0,250.0,195.0,2.129,2.091
2018,7,23.5,255.0,210.0,2.03,2.002
2018,8,23.5,250.0,210.0,2.074,2.043
2018,9,24.0,240.0,199.0,2.077,2.053
2018,10,26.0,225.0,190.0,2.093,2.045
2018,11,27.0,250.0,190.0,2.028,1.969
2018,12,26.5,250.0,190.0,1.625,1.546
2019,1,21.5,250.0,183.0,1.449,1.357
2019,2,20.5,240.0,183.0,1.425,1.353
2019,3,20.5,240.0,165.0,1.568,1.47
2019,4,25.5,260.0,173.0,1.812,1.817
2019,5,24.0,255.0,168.0,2.042,2.006
2019,6,21.5,260.0,168.0,1.916,1.881
2019,7,21.0,230.0,158.0,1.74,1.722
2019,8,18.5,225.0,153.0,1.89,1.854
2019,9,18.5,230.0,153.0,1.694,1.69
2019,10,16.5,220.0,149.0,1.726,1.681
2019,11,13.5,230.0,144.0,1.728,1.646
2019,12,13.0,230.0,144.0,1.724,1.636
2020,1,17.0,235.0,158.0,1.713,1.63
2020,2,18.0,240.0,158.0,1.658,1.587
2020,3,13.0,220.0,158.0,1.58,1.453
2020,4,15.0,160.0,140.0,0.891,0.838
